Artista,Álbum,Formato,Observações
Mötley Crüe,Dr. Feelgood,CD,Digipak
Mötley Crüe,"Girls, Girls, Girls",CD,Digipak
Mötley Crüe,Shout At The Devil,CD,Digipak
Mötley Crüe,Theatre Of Pain,CD,Digipak
Mötley Crüe,Too Fast For Love,CD,Digipak
Murder Rape,... And Evil Returns,CD,
Murder Rape,Celebration Of Supreme Evil,CD,Digipak
Murder Rape,Malum Absolutum,CD,Digipak
Mutiilation,Black Metal Cult,CD,
Mutiilation,Vampires Of Black Imperial Blood,CD,
Mystifier,Demo-Nized,CD,Digipak
Mystifier,Demystifying The Mystified Ones,CD,Digipak
Mystifier,Göetia,CD,
Mystifier,Profanus,CD,Digipak
Mystifier,The World Is So Good That Who Made It Doesn't Live Here,CD,Digipak
Mystifier,Wicca,CD,Digipak
Necrocosm,Infinite Darkness,CD,
Necrophobic,The Nocturnal Silence,CD,
Necrophobic,Womb Of Lilithu,CD,
Necrot,The Labyrinth,CD,Digipak
Nervochaos,Battalions Of Hate,CD,
Nervochaos,Legion Of Spirits Infernal,CD,
Nervochaos,Live Rituals,CD,
Nervosa,Perpetual Chaos,CD,
Nokturnal Mortum,Goat Horns,CD,
Nokturnal Mortum,Lunar Poetry,CD,
Nokturnal Mortum,Nechrist,CD,
Nokturnal Mortum,Return Of The Vampire Lord/Marble Moon,CD,
Nokturnal Mortum,The Voice Of Steel,CD,
Nokturnal Mortum,To The Gates Of Blasphemous Fire,CD,
Nokturnal Mortum,Twilightfall,CD,
Nokturnal Mortum,Verity,CD,
Nokturnal Mortum,Weltanschauung,CD,
Ocultan,Atombe Unkuluntu,CD,
Ocultan,Bellicus Profanus,CD,
Ocultan,Bellicus Profanus/Regnus Ad Exus,CD,"Digipak, 2 em 1"
Ocultan,Infernal Live,CD,
Ocultan,Lords Of Evil...,CD,
Ocultan,Lords Of Evil.../The Coffin,CD,"Digipak, 2 em 1"
Ocultan,Nexion Chaos,CD,
Ocultan,Old Times... Release Of Demos,CD,Digipak
Ocultan,Profanation,CD,
Ocultan,Quintessence,CD,Digipak
Ocultan,Rites Of The Sitra Ahra,CD,
Ocultan,Shadows From Beyond,CD,
Ocultan,The Coffin,CD,Digipak formato de caixão
Ocultan,Trevas,CD,Boxset
Omfalos,Cotton Candy Rendezvous,CD,
Omfalos,Idiots Savants,CD,
Outlaw,Death Miasma,CD,
Outlaw,Reaching Beyond Assiah,CD,Boxset numerado
Overkill,Wrecking Everything Live,CD,
Ozzy Osbourne,Tribute,CD,
Pactum,Summa Imperii Satanae 666,CD,Digipak
Pagan Hellfire,A Voice From Centuries Away,CD,
Pagan Hellfire,"In Desolation, In Ruins",CD,
Pagan Hellfire,On The Path To Triumph,CD,
Pagan Hellfire,Solidarity,CD,
Pagan Hellfire,The Will Of Night,CD,
Paradise Lost,Believe In Nothing,CD,
Paradise Lost,Draconian Times,CD,
Paradise Lost,Gothic,CD,
Paradise Lost,Host,CD,Digipak
Paradise Lost,In Requiem,CD,
Paradise Lost,Lost Paradise,CD,Digipak
Paradise Lost,Medusa,CD,
Paradise Lost,Symbol Of Life,CD,
Paradise Lost,Tragic Idol,CD,
Paradise Lost,Tragic Illusion 25,CD,
Patria,Gloria Nox Aeterna,CD,
Patria,Hexerei,CD,
Patria,Individualism,CD,
Patria,Magna Adversia,CD,Digipak
Patria,Nihil Est Monastica,CD,Digipak
Patria,Sovereign Misanthropy,CD,
Pearl Jam,Ten,CD,
Possessed,Seven Churches,CD,
